scenario,N,net,t0,method,sigma,time,wait,stops,lefts,rights,links,away
base_N8,8,1,90.0,TD-OPT,,901.6239673142667,78.3784389010649,4,4,5,14,0
base_N8,8,1,105.0,SP-FF,,899.4154528508619,128.07896661781845,4,5,5,14,
base_N8,8,1,105.0,SP-STATIC,,899.4154528508619,128.07896661781845,4,5,5,14,
base_N8,8,1,105.0,GREEDY,,1026.9632750684007,96.89893797044468,4,2,3,14,
base_N8,8,1,105.0,TD-OPT,,886.6239673142667,95.86439382140853,5,4,4,14,0
base_N8,8,2,0.0,SP-FF,,1154.6619865139637,318.3488751900819,6,2,2,14,
base_N8,8,2,0.0,SP-STATIC,,1093.4800889956546,231.61819819333363,5,5,5,14,
base_N8,8,2,0.0,GREEDY,,1251.1657018282463,275.3898359183193,6,1,1,14,
base_N8,8,2,0.0,TD-OPT,,997.2393655694863,94.12245526577243,4,4,4,14,0
base_N8,8,2,15.0,SP-FF,,1139.6619865139637,303.3488751900819,6,2,2,14,
base_N8,8,2,15.0,SP-STATIC,,1198.4800889956543,336.61819819333357,7,5,5,14,
base_N8,8,2,15.0,GREEDY,,1236.1657018282463,260.3898359183193,6,1,1,14,
base_N8,8,2,15.0,TD-OPT,,1001.6565106266488,69.39439005834373,5,2,3,14,0
base_N8,8,2,30.0,SP-FF,,1124.6619865139637,288.3488751900819,6,2,2,14,
base_N8,8,2,30.0,SP-STATIC,,1183.4800889956543,321.61819819333357,7,5,5,14,
base_N8,8,2,30.0,GREEDY,,1221.1657018282463,245.3898359183193,6,1,1,14,
base_N8,8,2,30.0,TD-OPT,,986.6565106266488,54.39439005834373,5,2,3,14,0
base_N8,8,2,45.0,SP-FF,,1109.6619865139637,273.3488751900819,6,2,2,14,
base_N8,8,2,45.0,SP-STATIC,,1168.4800889956543,306.61819819333357,7,5,5,14,
base_N8,8,2,45.0,GREEDY,,1206.1657018282463,238.4397519674343,5,3,3,14,
base_N8,8,2,45.0,TD-OPT,,989.6619865139637,105.83327620780346,2,2,3,14,0
base_N8,8,2,60.0,SP-FF,,1094.6619865139637,258.3488751900819,6,2,2,14,
base_N8,8,2,60.0,SP-STATIC,,1153.4800889956543,291.61819819333357,7,5,5,14,
base_N8,8,2,60.0,GREEDY,,1311.1657018282463,308.2627477929316,8,2,2,14,
base_N8,8,2,60.0,TD-OPT,,974.6619865139637,130.36775279288008,3,3,3,14,0
base_N8,8,2,75.0,SP-FF,,1079.6619865139637,243.34887519008188,5,2,2,14,
base_N8,8,2,75.0,SP-STATIC,,1138.4800889956543,276.61819819333357,7,5,5,14,
base_N8,8,2,75.0,GREEDY,,1296.1657018282463,293.2627477929316,8,2,2,14,
base_N8,8,2,75.0,TD-OPT,,959.6619865139637,115.3677527928801,3,3,3,14,0
base_N8,8,2,90.0,SP-FF,,1064.6619865139637,228.34887519008188,5,2,2,14,
base_N8,8,2,90.0,SP-STATIC,,1123.4800889956543,261.61819819333357,7,5,5,14,
base_N8,8,2,90.0,GREEDY,,1281.1657018282463,313.4397519674344,7,3,3,14,
base_N8,8,2,90.0,TD-OPT,,944.6619865139637,100.36775279288005,3,3,3,14,0
base_N8,8,2,105.0,SP-FF,,1049.6619865139637,213.3488751900819,4,2,2,14,
base_N8,8,2,105.0,SP-STATIC,,1108.4800889956543,246.61819819333354,7,5,5,14,
base_N8,8,2,105.0,GREEDY,,1266.1657018282463,298.4397519674344,7,3,3,14,
base_N8,8,2,105.0,TD-OPT,,929.6619865139637,85.36775279288005,3,3,3,14,0
base_N8,8,3,0.0,SP-FF,,989.5218422621554,213.59091485560086,6,4,4,14,
base_N8,8,3,0.0,SP-STATIC,,989.5218422621554,213.59091485560086,6,4,4,14,
base_N8,8,3,0.0,GREEDY,,1255.7406194453542,266.63439242627,7,1,1,14,
base_N8,8,3,0.0,TD-OPT,,974.8269068073699,83.0306599219125,4,4,5,14,0
base_N8,8,3,15.0,SP-FF,,974.5218422621554,198.59091485560086,6,4,4,14,
base_N8,8,3,15.0,SP-STATIC,,974.5218422621554,198.59091485560086,6,4,4,14,
base_N8,8,3,15.0,GREEDY,,1240.7406194453542,241.7976944532877,7,2,2,14,
base_N8,8,3,15.0,TD-OPT,,959.8269068073699,68.0306599219125,3,4,5,14,0
base_N8,8,3,30.0,SP-FF,,959.5218422621554,183.5909148556009,5,4,4,14,
base_N8,8,3,30.0,SP-STATIC,,959.5218422621554,183.5909148556009,5,4,4,14,
base_N8,8,3,30.0,GREEDY,,1225.7406194453542,226.79769445328765,6,2,2,14,
base_N8,8,3,30.0,TD-OPT,,944.8269068073699,53.030659921912445,3,4,5,14,0
base_N8,8,3,45.0,SP-FF,,1064.5218422621551,288.5909148556009,6,4,4,14,
base_N8,8,3,45.0,SP-STATIC,,1064.5218422621551,288.5909148556009,6,4,4,14,
base_N8,8,3,45.0,GREEDY,,1210.7406194453542,302.5535668362636,8,2,2,14,
base_N8,8,3,45.0,TD-OPT,,1049.82690680737,158.03065992191247,5,4,5,14,0
base_N8,8,3,60.0,SP-FF,,1049.5218422621551,273.5909148556009,6,4,4,14,
base_N8,8,3,60.0,SP-STATIC,,1049.5218422621551,273.5909148556009,6,4,4,14,
base_N8,8,3,60.0,GREEDY,,1195.7406194453542,287.5535668362636,8,2,2,14,
base_N8,8,3,60.0,TD-OPT,,1034.82690680737,143.03065992191247,5,4,5,14,0
base_N8,8,3,75.0,SP-FF,,1034.5218422621551,258.5909148556009,6,4,4,14,
base_N8,8,3,75.0,SP-STATIC,,1034.5218422621551,258.5909148556009,6,4,4,14,
base_N8,8,3,75.0,GREEDY,,1180.7406194453542,272.5535668362636,8,2,2,14,
base_N8,8,3,75.0,TD-OPT,,1019.82690680737,128.03065992191247,5,4,5,14,0
base_N8,8,3,90.0,SP-FF,,1019.5218422621551,243.59091485560086,6,4,4,14,
base_N8,8,3,90.0,SP-STATIC,,1019.5218422621551,243.59091485560086,6,4,4,14,
base_N8,8,3,90.0,GREEDY,,1165.7406194453542,257.5535668362636,8,2,2,14,
base_N8,8,3,90.0,TD-OPT,,1004.82690680737,113.03065992191247,5,4,5,14,0
base_N8,8,3,105.0,SP-FF,,1004.5218422621551,228.59091485560086,6,4,4,14,
base_N8,8,3,105.0,SP-STATIC,,1004.5218422621551,228.59091485560086,6,4,4,14,
base_N8,8,3,105.0,GREEDY,,1150.7406194453542,242.5535668362636,7,2,2,14,
base_N8,8,3,105.0,TD-OPT,,989.82690680737,98.03065992191247,5,4,5,14,0
base_N8,8,4,0.0,SP-FF,,1243.153599200331,409.84801298020056,7,3,3,14,
base_N8,8,4,0.0,SP-STATIC,,1243.153599200331,404.97246527685155,8,4,4,14,
base_N8,8,4,0.0,GREEDY,,1287.072658736224,276.28905185556397,6,1,1,14,
base_N8,8,4,0.0,TD-OPT,,1003.1535992003309,50.850210908432075,3,4,4,14,0
base_N8,8,4,15.0,SP-FF,,1228.153599200331,394.84801298020056,6,3,3,14,
base_N8,8,4,15.0,SP-STATIC,,1228.153599200331,389.97246527685155,7,4,4,14,
base_N8,8,4,15.0,GREEDY,,1152.072658736224,254.41044116078365,5,2,2,14,
base_N8,8,4,15.0,TD-OPT,,988.1535992003309,43.84150609413638,2,4,4,14,0
base_N8,8,4,30.0,SP-FF,,1213.153599200331,379.84801298020056,6,3,3,14,
base_N8,8,4,30.0,SP-STATIC,,1213.153599200331,374.97246527685155,7,4,4,14,
base_N8,8,4,30.0,GREEDY,,1233.153599200331,225.62511944444253,6,2,2,14,
base_N8,8,4,30.0,TD-OPT,,973.1535992003309,44.325761498528266,2,4,4,14,0
base_N8,8,4,45.0,SP-FF,,1198.153599200331,364.84801298020056,6,3,3,14,
base_N8,8,4,45.0,SP-STATIC,,1198.153599200331,359.97246527685155,7,4,4,14,
base_N8,8,4,45.0,GREEDY,,1242.072658736224,255.0422141800699,6,1,1,14,
base_N8,8,4,45.0,TD-OPT,,958.1535992003309,29.325761498528266,2,4,4,14,0
base_N8,8,4,60.0,SP-FF,,1303.153599200331,469.8480129802002,7,3,3,14,
base_N8,8,4,60.0,SP-STATIC,,1303.153599200331,464.97246527685127,8,4,4,14,
base_N8,8,4,60.0,GREEDY,,1087.072658736224,173.06890939342736,3,4,4,14,
base_N8,8,4,60.0,TD-OPT,,943.1535992003309,85.99066077420883,4,3,3,14,0
base_N8,8,4,75.0,SP-FF,,1288.153599200331,454.8480129802002,7,3,3,14,
base_N8,8,4,75.0,SP-STATIC,,1288.153599200331,449.97246527685127,8,4,4,14,
base_N8,8,4,75.0,GREEDY,,1332.072658736224,345.0422141800699,7,1,1,14,
base_N8,8,4,75.0,TD-OPT,,969.0224799956154,19.733505586265423,2,5,4,14,0
base_N8,8,4,90.0,SP-FF,,1273.153599200331,439.8480129802002,7,3,3,14,
base_N8,8,4,90.0,SP-STATIC,,1273.153599200331,434.97246527685127,8,4,4,14,
base_N8,8,4,90.0,GREEDY,,1317.072658736224,330.0422141800699,7,1,1,14,
base_N8,8,4,90.0,TD-OPT,,954.0224799956154,4.733505586265494,1,5,4,14,0
base_N8,8,4,105.0,SP-FF,,1258.153599200331,424.8480129802002,7,3,3,14,
base_N8,8,4,105.0,SP-STATIC,,1258.153599200331,419.97246527685127,8,4,4,14,
base_N8,8,4,105.0,GREEDY,,1302.072658736224,315.0422141800699,7,1,1,14,
base_N8,8,4,105.0,TD-OPT,,1018.153599200331,65.8502109084321,4,4,4,14,0
base_N8,8,5,0.0,SP-FF,,1258.796604831678,430.9269015189221,7,6,5,14,
base_N8,8,5,0.0,SP-STATIC,,1258.796604831678,430.9269015189221,7,6,5,14,
base_N8,8,5,0.0,GREEDY,,1258.796604831678,246.63205490183594,8,1,1,14,
base_N8,8,5,0.0,TD-OPT,,1011.8984140895035,120.34186271753303,6,2,3,14,0
