scenario,N,net,t0,method,sigma,time,wait,stops,lefts,rights,links,away
base_N8,8,38,30.0,GREEDY,,1066.2618984778326,197.20921035271203,4,1,1,14,
base_N8,8,38,30.0,TD-OPT,,900.6323929071897,43.54274627930954,2,2,3,14,0
base_N8,8,38,45.0,SP-FF,,1051.2618984778326,265.40330104397395,7,4,4,14,
base_N8,8,38,45.0,SP-STATIC,,1051.2618984778326,265.40330104397395,7,4,4,14,
base_N8,8,38,45.0,GREEDY,,1051.2618984778326,184.73910839433137,7,3,3,14,
base_N8,8,38,45.0,TD-OPT,,974.8994039133346,87.75143061886553,3,4,5,14,0
base_N8,8,38,60.0,SP-FF,,1036.2618984778326,250.40330104397395,7,4,4,14,
base_N8,8,38,60.0,SP-STATIC,,1036.2618984778326,250.40330104397395,7,4,4,14,
base_N8,8,38,60.0,GREEDY,,1156.2618984778323,287.209210352712,6,1,1,14,
base_N8,8,38,60.0,TD-OPT,,990.6323929071898,113.7845737529943,5,3,3,14,0
base_N8,8,38,75.0,SP-FF,,1021.2618984778326,235.40330104397395,7,4,4,14,
base_N8,8,38,75.0,SP-STATIC,,1021.2618984778326,235.40330104397395,7,4,4,14,
base_N8,8,38,75.0,GREEDY,,1141.2618984778323,272.209210352712,6,1,1,14,
base_N8,8,38,75.0,TD-OPT,,975.6323929071898,98.7845737529943,5,3,3,14,0
base_N8,8,38,90.0,SP-FF,,1006.2618984778326,220.40330104397395,7,4,4,14,
base_N8,8,38,90.0,SP-STATIC,,1006.2618984778326,220.40330104397395,7,4,4,14,
base_N8,8,38,90.0,GREEDY,,1126.2618984778323,257.209210352712,6,1,1,14,
base_N8,8,38,90.0,TD-OPT,,960.6323929071898,83.78457375299433,4,3,3,14,0
base_N8,8,38,105.0,SP-FF,,991.2618984778326,205.40330104397395,7,4,4,14,
base_N8,8,38,105.0,SP-STATIC,,991.2618984778326,205.40330104397395,7,4,4,14,
base_N8,8,38,105.0,GREEDY,,1111.2618984778323,205.40811007711488,8,2,2,14,
base_N8,8,38,105.0,TD-OPT,,945.6323929071898,68.78457375299428,3,3,3,14,0
base_N8,8,39,0.0,SP-FF,,1211.756765084679,436.29709550859576,7,2,2,14,
base_N8,8,39,0.0,SP-STATIC,,1211.756765084679,436.29709550859576,7,2,2,14,
base_N8,8,39,0.0,GREEDY,,1195.2683871666381,178.45460019506316,8,2,2,14,
base_N8,8,39,0.0,TD-OPT,,935.0148750170562,52.289628242382264,3,4,5,14,0
base_N8,8,39,15.0,SP-FF,,1196.756765084679,421.29709550859576,7,2,2,14,
base_N8,8,39,15.0,SP-STATIC,,1196.756765084679,421.29709550859576,7,2,2,14,
base_N8,8,39,15.0,GREEDY,,1300.2683871666381,377.3916083430697,10,1,1,14,
base_N8,8,39,15.0,TD-OPT,,920.0148750170562,37.49946966428655,3,4,5,14,0
base_N8,8,39,30.0,SP-FF,,1181.756765084679,406.29709550859576,7,2,2,14,
base_N8,8,39,30.0,SP-STATIC,,1181.756765084679,406.29709550859576,7,2,2,14,
base_N8,8,39,30.0,GREEDY,,1154.9288657083453,176.6721868941919,4,2,3,14,
base_N8,8,39,30.0,TD-OPT,,905.0148750170562,22.499469664286494,1,4,5,14,0
base_N8,8,39,45.0,SP-FF,,1166.756765084679,391.29709550859576,6,2,2,14,
base_N8,8,39,45.0,SP-STATIC,,1166.756765084679,391.29709550859576,6,2,2,14,
base_N8,8,39,45.0,GREEDY,,1270.2683871666381,249.2156404311661,11,1,1,14,
base_N8,8,39,45.0,TD-OPT,,1010.014875017056,127.06323878424757,4,3,3,14,0
base_N8,8,39,60.0,SP-FF,,1151.756765084679,376.29709550859576,6,2,2,14,
base_N8,8,39,60.0,SP-STATIC,,1151.756765084679,376.29709550859576,6,2,2,14,
base_N8,8,39,60.0,GREEDY,,1255.2683871666381,234.2156404311661,11,1,1,14,
base_N8,8,39,60.0,TD-OPT,,995.014875017056,112.06323878424757,4,3,3,14,0
base_N8,8,39,75.0,SP-FF,,1256.756765084679,481.29709550859593,7,2,2,14,
base_N8,8,39,75.0,SP-STATIC,,1256.756765084679,481.29709550859593,7,2,2,14,
base_N8,8,39,75.0,GREEDY,,1240.2683871666381,219.2156404311661,11,1,1,14,
base_N8,8,39,75.0,TD-OPT,,980.014875017056,97.28962824238226,5,4,5,14,0
base_N8,8,39,90.0,SP-FF,,1241.756765084679,466.29709550859593,7,2,2,14,
base_N8,8,39,90.0,SP-STATIC,,1241.756765084679,466.29709550859593,7,2,2,14,
base_N8,8,39,90.0,GREEDY,,1225.2683871666381,204.2156404311661,11,1,1,14,
base_N8,8,39,90.0,TD-OPT,,965.014875017056,82.28962824238226,5,4,5,14,0
base_N8,8,39,105.0,SP-FF,,1226.756765084679,451.29709550859593,7,2,2,14,
base_N8,8,39,105.0,SP-STATIC,,1226.756765084679,451.29709550859593,7,2,2,14,
base_N8,8,39,105.0,GREEDY,,1210.2683871666381,287.3916083430697,9,1,1,14,
base_N8,8,39,105.0,TD-OPT,,950.014875017056,67.28962824238221,4,4,5,14,0
base_N8,8,40,0.0,SP-FF,,1179.663047802064,336.4143336049896,6,3,3,14,
base_N8,8,40,0.0,SP-STATIC,,1238.2410344536524,370.02152421754425,7,4,5,14,
base_N8,8,40,0.0,GREEDY,,1155.1637818213915,181.45343525220312,4,3,3,14,
base_N8,8,40,0.0,TD-OPT,,998.2410344536524,41.08603513474692,4,3,4,14,0
base_N8,8,40,15.0,SP-FF,,1164.663047802064,321.4143336049896,6,3,3,14,
base_N8,8,40,15.0,SP-STATIC,,1223.2410344536524,355.02152421754425,7,4,5,14,
base_N8,8,40,15.0,GREEDY,,1280.1637818213915,345.6242537086923,8,2,2,14,
base_N8,8,40,15.0,TD-OPT,,1005.6255601683395,95.72613370894959,3,3,4,14,0
base_N8,8,40,30.0,SP-FF,,1149.663047802064,306.4143336049896,6,3,3,14,
base_N8,8,40,30.0,SP-STATIC,,1208.2410344536524,340.02152421754425,7,4,5,14,
base_N8,8,40,30.0,GREEDY,,1265.1637818213915,330.6242537086923,8,2,2,14,
base_N8,8,40,30.0,TD-OPT,,990.6255601683395,80.72613370894959,3,3,4,14,0
base_N8,8,40,45.0,SP-FF,,1134.663047802064,291.4143336049896,6,3,3,14,
base_N8,8,40,45.0,SP-STATIC,,1193.2410344536524,325.02152421754425,7,4,5,14,
base_N8,8,40,45.0,GREEDY,,1250.1637818213915,348.8626658752438,9,1,1,14,
base_N8,8,40,45.0,TD-OPT,,975.6255601683395,65.72613370894959,3,3,4,14,0
base_N8,8,40,60.0,SP-FF,,1119.663047802064,276.4143336049896,6,3,3,14,
base_N8,8,40,60.0,SP-STATIC,,1178.2410344536524,310.02152421754425,7,4,5,14,
base_N8,8,40,60.0,GREEDY,,1235.1637818213915,333.8626658752438,9,1,1,14,
base_N8,8,40,60.0,TD-OPT,,960.6255601683395,50.72613370894959,3,3,4,14,0
base_N8,8,40,75.0,SP-FF,,1104.663047802064,261.4143336049896,5,3,3,14,
base_N8,8,40,75.0,SP-STATIC,,1163.2410344536524,295.02152421754425,6,4,5,14,
base_N8,8,40,75.0,GREEDY,,1220.1637818213915,318.8626658752438,8,1,1,14,
base_N8,8,40,75.0,TD-OPT,,945.6255601683395,35.72613370894959,2,3,4,14,0
base_N8,8,40,90.0,SP-FF,,1089.663047802064,246.41433360498962,5,3,3,14,
base_N8,8,40,90.0,SP-STATIC,,1148.2410344536524,280.02152421754425,6,4,5,14,
base_N8,8,40,90.0,GREEDY,,1065.1637818213915,97.14410934788702,3,3,3,14,
base_N8,8,40,90.0,TD-OPT,,930.6255601683395,20.726133708949533,1,3,4,14,0
base_N8,8,40,105.0,SP-FF,,1074.663047802064,231.41433360498962,5,3,3,14,
base_N8,8,40,105.0,SP-STATIC,,1133.2410344536524,265.02152421754425,6,4,5,14,
base_N8,8,40,105.0,GREEDY,,1190.1637818213915,268.7703437496071,7,2,2,14,
base_N8,8,40,105.0,TD-OPT,,1013.2410344536524,56.08603513474682,4,3,4,14,0
base_N8,8,41,0.0,SP-FF,,1298.641989783862,424.9567384960347,7,3,4,14,
base_N8,8,41,0.0,SP-STATIC,,1298.641989783862,406.4966524354908,7,5,6,14,
base_N8,8,41,0.0,GREEDY,,1222.8029478617289,311.65656782478027,7,1,1,14,
base_N8,8,41,0.0,TD-OPT,,1058.641989783862,104.97635935984646,5,3,4,14,0
base_N8,8,41,15.0,SP-FF,,1283.641989783862,409.95673849603475,6,3,4,14,
base_N8,8,41,15.0,SP-STATIC,,1283.641989783862,391.4966524354908,7,5,6,14,
base_N8,8,41,15.0,GREEDY,,1204.614028923806,213.3198056480287,6,3,3,14,
base_N8,8,41,15.0,TD-OPT,,1043.641989783862,89.97635935984653,4,3,4,14,0
base_N8,8,41,30.0,SP-FF,,1268.641989783862,394.95673849603475,6,3,4,14,
base_N8,8,41,30.0,SP-STATIC,,1268.641989783862,376.4966524354908,7,5,6,14,
base_N8,8,41,30.0,GREEDY,,1169.614028923806,201.02247790627553,5,2,2,14,
base_N8,8,41,30.0,TD-OPT,,1028.641989783862,74.97635935984653,4,3,4,14,0
base_N8,8,41,45.0,SP-FF,,1253.641989783862,379.95673849603475,6,3,4,14,
base_N8,8,41,45.0,SP-STATIC,,1253.641989783862,361.4966524354908,7,5,6,14,
base_N8,8,41,45.0,GREEDY,,1174.614028923806,178.24694309996914,5,2,2,14,
base_N8,8,41,45.0,TD-OPT,,1013.6419897838621,54.441339650640714,3,4,5,14,0
base_N8,8,41,60.0,SP-FF,,1358.641989783862,484.95673849603475,7,3,4,14,
base_N8,8,41,60.0,SP-STATIC,,1238.641989783862,346.4966524354908,7,5,6,14,
base_N8,8,41,60.0,GREEDY,,1162.8029478617289,251.6565678247803,6,1,1,14,
base_N8,8,41,60.0,TD-OPT,,1052.1992324195933,77.31127166324387,5,4,5,14,0
base_N8,8,41,75.0,SP-FF,,1343.641989783862,469.95673849603475,7,3,4,14,
base_N8,8,41,75.0,SP-STATIC,,1223.641989783862,331.4966524354908,7,5,6,14,
base_N8,8,41,75.0,GREEDY,,1147.8029478617289,236.6565678247803,6,1,1,14,
base_N8,8,41,75.0,TD-OPT,,1037.1992324195933,62.31127166324387,5,4,5,14,0
base_N8,8,41,90.0,SP-FF,,1328.641989783862,454.95673849603475,7,3,4,14,
base_N8,8,41,90.0,SP-STATIC,,1208.641989783862,316.4966524354908,6,5,6,14,
base_N8,8,41,90.0,GREEDY,,1109.614028923806,117.8021138218678,3,4,4,14,
base_N8,8,41,90.0,TD-OPT,,1030.2105097039275,45.44036534182669,2,3,4,14,0
base_N8,8,41,105.0,SP-FF,,1313.641989783862,439.95673849603475,7,3,4,14,
base_N8,8,41,105.0,SP-STATIC,,1313.641989783862,421.4966524354908,7,5,6,14,
base_N8,8,41,105.0,GREEDY,,1237.8029478617289,326.65656782478027,7,1,1,14,
base_N8,8,41,105.0,TD-OPT,,1073.6419897838623,119.97635935984633,5,3,4,14,0
base_N8,8,42,0.0,SP-FF,,1267.5738650175435,472.7784706162765,9,2,3,14,
base_N8,8,42,0.0,SP-STATIC,,1267.5738650175435,472.7784706162765,9,2,3,14,
base_N8,8,42,0.0,GREEDY,,1222.6032403430308,324.4962195505554,9,2,2,14,
base_N8,8,42,0.0,TD-OPT,,996.1509979730109,96.01830118515517,2,4,5,14,0
base_N8,8,42,15.0,SP-FF,,1252.5738650175435,457.7784706162765,9,2,3,14,
base_N8,8,42,15.0,SP-STATIC,,1252.5738650175435,457.7784706162765,9,2,3,14,
base_N8,8,42,15.0,GREEDY,,1207.6032403430308,334.2541804700113,9,1,1,14,
base_N8,8,42,15.0,TD-OPT,,1012.5738650175433,109.15804582835068,3,3,4,14,0
base_N8,8,42,30.0,SP-FF,,1237.5738650175435,442.7784706162765,9,2,3,14,
base_N8,8,42,30.0,SP-STATIC,,1237.5738650175435,442.7784706162765,9,2,3,14,
base_N8,8,42,30.0,GREEDY,,1192.6032403430308,319.2541804700113,9,1,1,14,
base_N8,8,42,30.0,TD-OPT,,997.5738650175433,94.15804582835068,3,3,4,14,0
base_N8,8,42,45.0,SP-FF,,1222.5738650175435,427.7784706162765,9,2,3,14,
base_N8,8,42,45.0,SP-STATIC,,1222.5738650175435,427.7784706162765,9,2,3,14,
base_N8,8,42,45.0,GREEDY,,1177.6032403430308,304.2541804700113,9,1,1,14,
base_N8,8,42,45.0,TD-OPT,,982.5738650175433,79.15804582835068,3,3,4,14,0
base_N8,8,42,60.0,SP-FF,,1207.5738650175435,412.7784706162765,9,2,3,14,
base_N8,8,42,60.0,SP-STATIC,,1207.5738650175435,412.7784706162765,9,2,3,14,
base_N8,8,42,60.0,GREEDY,,1162.6032403430308,289.2541804700113,9,1,1,14,
base_N8,8,42,60.0,TD-OPT,,967.5738650175433,64.15804582835068,3,3,4,14,0
base_N8,8,42,75.0,SP-FF,,1192.5738650175435,397.7784706162765,9,2,3,14,
base_N8,8,42,75.0,SP-STATIC,,1192.5738650175435,397.7784706162765,9,2,3,14,
base_N8,8,42,75.0,GREEDY,,1147.6032403430308,274.2541804700113,8,1,1,14,
base_N8,8,42,75.0,TD-OPT,,952.5738650175433,49.15804582835068,3,3,4,14,0
base_N8,8,42,90.0,SP-FF,,1177.5738650175435,382.7784706162764,8,2,3,14,
base_N8,8,42,90.0,SP-STATIC,,1177.5738650175435,382.7784706162764,8,2,3,14,
base_N8,8,42,90.0,GREEDY,,1252.6032403430308,320.94437794130965,10,1,1,14,
base_N8,8,42,90.0,TD-OPT,,937.5738650175433,34.15804582835068,3,3,4,14,0
base_N8,8,42,105.0,SP-FF,,1162.5738650175435,367.7784706162764,8,2,3,14,
base_N8,8,42,105.0,SP-STATIC,,1162.5738650175435,367.7784706162764,8,2,3,14,
base_N8,8,42,105.0,GREEDY,,1237.6032403430308,305.94437794130965,9,1,1,14,
base_N8,8,42,105.0,TD-OPT,,922.5738650175433,19.15804582835068,3,3,4,14,0
base_N8,8,43,0.0,SP-FF,,1030.2019282969277,226.10128640870244,6,2,3,14,
base_N8,8,43,0.0,SP-STATIC,,1030.2019282969277,226.10128640870244,6,2,3,14,
base_N8,8,43,0.0,GREEDY,,1357.5325157665025,309.82524570856776,8,2,2,14,
base_N8,8,43,0.0,TD-OPT,,908.1455790050369,78.28632866780454,4,3,4,14,0
base_N8,8,43,15.0,SP-FF,,1135.2019282969277,331.10128640870244,7,2,3,14,
base_N8,8,43,15.0,SP-STATIC,,1135.2019282969277,331.10128640870244,7,2,3,14,
base_N8,8,43,15.0,GREEDY,,1342.5325157665025,298.2793810142585,7,3,3,14,
base_N8,8,43,15.0,TD-OPT,,1013.1455790050368,177.0784602072761,6,4,4,14,0
base_N8,8,43,30.0,SP-FF,,1120.2019282969277,316.10128640870244,7,2,3,14,
base_N8,8,43,30.0,SP-STATIC,,1120.2019282969277,316.10128640870244,7,2,3,14,
base_N8,8,43,30.0,GREEDY,,1327.5325157665025,283.2793810142585,7,3,3,14,
base_N8,8,43,30.0,TD-OPT,,998.1455790050368,162.0784602072761,6,4,4,14,0
base_N8,8,43,45.0,SP-FF,,1105.2019282969277,301.10128640870244,7,2,3,14,
base_N8,8,43,45.0,SP-STATIC,,1105.2019282969277,301.10128640870244,7,2,3,14,
base_N8,8,43,45.0,GREEDY,,1312.5325157665025,315.10917590442705,9,1,1,14,
base_N8,8,43,45.0,TD-OPT,,983.1455790050368,147.0784602072761,6,4,4,14,0
base_N8,8,43,60.0,SP-FF,,1090.2019282969277,286.1012864087024,7,2,3,14,
base_N8,8,43,60.0,SP-STATIC,,1090.2019282969277,286.1012864087024,7,2,3,14,
base_N8,8,43,60.0,GREEDY,,1297.5325157665025,300.10917590442705,9,1,1,14,
base_N8,8,43,60.0,TD-OPT,,968.1455790050368,132.07846020727612,5,4,4,14,0
base_N8,8,43,75.0,SP-FF,,1075.2019282969277,271.1012864087024,7,2,3,14,
base_N8,8,43,75.0,SP-STATIC,,1075.2019282969277,271.1012864087024,7,2,3,14,
base_N8,8,43,75.0,GREEDY,,1282.5325157665025,285.10917590442705,9,1,1,14,
base_N8,8,43,75.0,TD-OPT,,953.1455790050368,117.07846020727612,5,4,4,14,0
base_N8,8,43,90.0,SP-FF,,1060.2019282969277,256.1012864087024,6,2,3,14,
base_N8,8,43,90.0,SP-STATIC,,1060.2019282969277,256.1012864087024,6,2,3,14,
base_N8,8,43,90.0,GREEDY,,1387.5325157665025,339.82524570856805,8,2,2,14,
base_N8,8,43,90.0,TD-OPT,,938.1455790050368,108.28632866780454,4,3,4,14,0
base_N8,8,43,105.0,SP-FF,,1045.2019282969277,241.10128640870238,6,2,3,14,
base_N8,8,43,105.0,SP-STATIC,,1045.2019282969277,241.10128640870238,6,2,3,14,
base_N8,8,43,105.0,GREEDY,,1372.5325157665025,324.82524570856805,8,2,2,14,
base_N8,8,43,105.0,TD-OPT,,923.1455790050368,93.28632866780453,4,3,4,14,0
base_N8,8,44,0.0,SP-FF,,1309.6383390480948,553.569185958693,9,3,2,14,
base_N8,8,44,0.0,SP-STATIC,,1052.664407132003,279.5009275945734,6,4,4,14,
base_N8,8,44,0.0,GREEDY,,1069.6383390480948,237.5450457971256,6,2,2,14,
base_N8,8,44,0.0,TD-OPT,,893.051795044007,54.56447054269702,4,4,3,14,0
base_N8,8,44,15.0,SP-FF,,1294.6383390480948,538.569185958693,9,3,2,14,
base_N8,8,44,15.0,SP-STATIC,,1037.664407132003,264.5009275945734,6,4,4,14,
base_N8,8,44,15.0,GREEDY,,1054.6383390480948,243.81033137736807,6,3,3,14,
base_N8,8,44,15.0,TD-OPT,,998.051795044007,128.767846323806,4,4,4,14,0
base_N8,8,44,30.0,SP-FF,,1279.6383390480948,523.569185958693,9,3,2,14,
base_N8,8,44,30.0,SP-STATIC,,1022.6644071320029,249.5009275945734,6,4,4,14,
base_N8,8,44,30.0,GREEDY,,1039.6383390480948,228.81033137736807,6,3,3,14,
base_N8,8,44,30.0,TD-OPT,,983.051795044007,113.767846323806,4,4,4,14,0
base_N8,8,44,45.0,SP-FF,,1264.6383390480948,508.56918595869297,9,3,2,14,
base_N8,8,44,45.0,SP-STATIC,,1007.6644071320029,234.5009275945734,6,4,4,14,
base_N8,8,44,45.0,GREEDY,,1024.6383390480948,213.81033137736807,6,3,3,14,
base_N8,8,44,45.0,TD-OPT,,968.051795044007,98.767846323806,4,4,4,14,0
base_N8,8,44,60.0,SP-FF,,1249.6383390480948,493.56918595869297,9,3,2,14,
base_N8,8,44,60.0,SP-STATIC,,992.6644071320029,219.50092759457345,6,4,4,14,
base_N8,8,44,60.0,GREEDY,,1129.6383390480948,288.71474508771416,9,1,1,14,
base_N8,8,44,60.0,TD-OPT,,953.051795044007,83.76784632380601,4,4,4,14,0
base_N8,8,44,75.0,SP-FF,,1234.6383390480948,478.56918595869297,8,3,2,14,
base_N8,8,44,75.0,SP-STATIC,,977.6644071320029,204.50092759457345,6,4,4,14,
base_N8,8,44,75.0,GREEDY,,1114.6383390480948,273.71474508771416,9,1,1,14,
base_N8,8,44,75.0,TD-OPT,,938.051795044007,68.76784632380601,4,4,4,14,0
base_N8,8,44,90.0,SP-FF,,1219.6383390480948,463.56918595869297,8,3,2,14,
base_N8,8,44,90.0,SP-STATIC,,962.6644071320029,189.50092759457345,6,4,4,14,
base_N8,8,44,90.0,GREEDY,,1006.5320141485195,69.4061950973122,2,2,3,14,
base_N8,8,44,90.0,TD-OPT,,923.051795044007,53.767846323806,3,4,4,14,0
base_N8,8,44,105.0,SP-FF,,1324.6383390480948,568.5691859586929,9,3,2,14,
base_N8,8,44,105.0,SP-STATIC,,947.6644071320029,174.50092759457345,5,4,4,14,
base_N8,8,44,105.0,GREEDY,,1084.6383390480948,184.31995709307142,5,1,1,14,
base_N8,8,44,105.0,TD-OPT,,908.051795044007,64.69831524052722,4,3,3,14,0
base_N8,8,45,0.0,SP-FF,,1128.7371471904714,301.0696626240526,8,3,2,14,
base_N8,8,45,0.0,SP-STATIC,,1128.2193295777688,284.811336510723,6,3,4,14,
base_N8,8,45,0.0,GREEDY,,1388.7371471904714,397.2132532155389,10,1,1,14,
base_N8,8,45,0.0,TD-OPT,,999.0943940891773,69.49815761570142,4,4,4,14,0
base_N8,8,45,15.0,SP-FF,,1113.7371471904714,286.0696626240526,8,3,2,14,
base_N8,8,45,15.0,SP-STATIC,,1113.2193295777688,269.811336510723,6,3,4,14,
base_N8,8,45,15.0,GREEDY,,1373.7371471904714,382.2132532155389,10,1,1,14,
base_N8,8,45,15.0,TD-OPT,,984.0943940891773,54.498157615701416,4,4,4,14,0
base_N8,8,45,30.0,SP-FF,,1218.7371471904714,391.06966262405257,9,3,2,14,
base_N8,8,45,30.0,SP-STATIC,,1098.2193295777688,254.81133651072298,6,3,4,14,
base_N8,8,45,30.0,GREEDY,,1358.7371471904714,367.2132532155389,9,1,1,14,
base_N8,8,45,30.0,TD-OPT,,969.0943940891773,47.32890087159072,4,3,4,14,0
base_N8,8,45,45.0,SP-FF,,1203.7371471904714,376.06966262405257,9,3,2,14,
base_N8,8,45,45.0,SP-STATIC,,1083.2193295777688,239.81133651072298,6,3,4,14,
base_N8,8,45,45.0,GREEDY,,1343.7371471904714,352.2132532155389,8,1,1,14,
base_N8,8,45,45.0,TD-OPT,,954.0943940891773,32.32890087159069,3,3,4,14,0
base_N8,8,45,60.0,SP-FF,,1188.7371471904714,361.06966262405257,9,3,2,14,
base_N8,8,45,60.0,SP-STATIC,,1068.2193295777688,224.81133651072298,6,3,4,14,
base_N8,8,45,60.0,GREEDY,,1328.7371471904714,331.21869390633316,7,3,3,14,
base_N8,8,45,60.0,TD-OPT,,939.0943940891773,48.59928539530304,3,3,4,14,0
base_N8,8,45,75.0,SP-FF,,1173.7371471904714,346.06966262405257,9,3,2,14,
base_N8,8,45,75.0,SP-STATIC,,1173.2193295777688,329.8113365107228,6,3,4,14,
base_N8,8,45,75.0,GREEDY,,1313.7371471904714,346.87880531542015,7,2,2,14,
base_N8,8,45,75.0,TD-OPT,,965.2004011443155,79.20300348570191,4,2,3,14,0
base_N8,8,45,90.0,SP-FF,,1158.7371471904714,331.06966262405257,9,3,2,14,
base_N8,8,45,90.0,SP-STATIC,,1158.2193295777688,314.8113365107228,6,3,4,14,
base_N8,8,45,90.0,GREEDY,,1298.7371471904714,331.87880531542015,7,2,2,14,
base_N8,8,45,90.0,TD-OPT,,950.2004011443155,64.20300348570191,4,2,3,14,0
base_N8,8,45,105.0,SP-FF,,1143.7371471904714,316.06966262405257,9,3,2,14,
base_N8,8,45,105.0,SP-STATIC,,1143.2193295777688,299.81133651072287,6,3,4,14,
base_N8,8,45,105.0,GREEDY,,1403.7371471904714,412.213253215539,10,1,1,14,
base_N8,8,45,105.0,TD-OPT,,1014.0943940891771,84.49815761570142,5,4,4,14,0
base_N8,8,46,0.0,SP-FF,,931.0006352154021,167.30474724094546,5,4,4,14,
base_N8,8,46,0.0,SP-STATIC,,931.0006352154021,144.19600572082913,5,4,5,14,
base_N8,8,46,0.0,GREEDY,,1054.397269518718,63.48933754622158,3,2,2,14,
base_N8,8,46,0.0,TD-OPT,,884.3159723983596,108.67011160333197,5,4,3,14,0
base_N8,8,46,15.0,SP-FF,,1036.000635215402,272.3047472409455,8,4,4,14,
base_N8,8,46,15.0,SP-STATIC,,916.0006352154021,129.19600572082913,5,4,5,14,
base_N8,8,46,15.0,GREEDY,,1159.397269518718,185.8439619414409,5,2,2,14,
base_N8,8,46,15.0,TD-OPT,,869.3159723983596,67.18763201426883,5,4,3,14,0
base_N8,8,46,30.0,SP-FF,,1021.0006352154021,257.30474724094546,8,4,4,14,
base_N8,8,46,30.0,SP-STATIC,,901.0006352154021,114.19600572082915,5,4,5,14,
base_N8,8,46,30.0,GREEDY,,1024.397269518718,154.40187838320492,3,4,4,14,
base_N8,8,46,30.0,TD-OPT,,854.3159723983596,52.187632014268786,4,4,3,14,0
base_N8,8,46,45.0,SP-FF,,1006.0006352154021,242.30474724094546,8,4,4,14,
base_N8,8,46,45.0,SP-STATIC,,886.0006352154021,99.19600572082915,5,4,5,14,
base_N8,8,46,45.0,GREEDY,,1009.3972695187181,139.40187838320492,3,4,4,14,
base_N8,8,46,45.0,TD-OPT,,886.0006352154021,79.01996319121271,4,4,5,14,0
base_N8,8,46,60.0,SP-FF,,991.0006352154021,227.30474724094546,8,4,4,14,
base_N8,8,46,60.0,SP-STATIC,,871.0006352154021,84.19600572082915,5,4,5,14,
base_N8,8,46,60.0,GREEDY,,994.3972695187181,124.40187838320493,3,4,4,14,
base_N8,8,46,60.0,TD-OPT,,871.0006352154021,64.01996319121271,4,4,5,14,0
base_N8,8,46,75.0,SP-FF,,976.0006352154021,212.30474724094546,8,4,4,14,
base_N8,8,46,75.0,SP-STATIC,,856.0006352154021,69.19600572082925,4,4,5,14,
base_N8,8,46,75.0,GREEDY,,979.3972695187181,109.40187838320503,2,4,4,14,
base_N8,8,46,75.0,TD-OPT,,856.0006352154021,49.019963191212696,3,4,5,14,0
base_N8,8,46,90.0,SP-FF,,961.0006352154021,197.30474724094546,8,4,4,14,
base_N8,8,46,90.0,SP-STATIC,,961.0006352154021,174.1960057208292,5,4,5,14,
base_N8,8,46,90.0,GREEDY,,1084.397269518718,171.87413801776023,5,2,2,14,
base_N8,8,46,90.0,TD-OPT,,914.3159723983596,115.5613700832157,5,4,4,14,0
base_N8,8,46,105.0,SP-FF,,946.0006352154021,182.30474724094546,6,4,4,14,
base_N8,8,46,105.0,SP-STATIC,,946.0006352154021,159.1960057208292,5,4,5,14,
base_N8,8,46,105.0,GREEDY,,1189.397269518718,248.15297258133944,7,1,1,14,
base_N8,8,46,105.0,TD-OPT,,899.3159723983596,123.67011160333197,6,4,3,14,0
base_N8,8,47,0.0,SP-FF,,963.282539546088,210.4995285784211,4,4,5,14,
base_N8,8,47,0.0,SP-STATIC,,963.282539546088,210.4995285784211,4,4,5,14,
base_N8,8,47,0.0,GREEDY,,1234.4378361802096,241.29940832946377,6,1,1,14,
base_N8,8,47,0.0,TD-OPT,,947.5802437608918,178.25947490249885,5,4,5,14,0
base_N8,8,47,15.0,SP-FF,,948.282539546088,195.4995285784211,4,4,5,14,
base_N8,8,47,15.0,SP-STATIC,,948.282539546088,195.4995285784211,4,4,5,14,
base_N8,8,47,15.0,GREEDY,,1219.4378361802096,226.29940832946377,6,1,1,14,
base_N8,8,47,15.0,TD-OPT,,932.5802437608918,163.25947490249885,5,4,5,14,0
base_N8,8,47,30.0,SP-FF,,933.282539546088,180.4995285784211,4,4,5,14,
base_N8,8,47,30.0,SP-STATIC,,933.282539546088,180.4995285784211,4,4,5,14,
base_N8,8,47,30.0,GREEDY,,1204.4378361802096,211.29940832946377,6,1,1,14,
base_N8,8,47,30.0,TD-OPT,,917.5802437608918,148.25947490249885,5,4,5,14,0
base_N8,8,47,45.0,SP-FF,,918.282539546088,165.4995285784211,4,4,5,14,
base_N8,8,47,45.0,SP-STATIC,,918.282539546088,165.4995285784211,4,4,5,14,
base_N8,8,47,45.0,GREEDY,,1169.4378361802096,159.28707114997962,3,4,4,14,
base_N8,8,47,45.0,TD-OPT,,902.5802437608918,133.25947490249885,5,4,5,14,0
base_N8,8,47,60.0,SP-FF,,903.282539546088,150.4995285784211,4,4,5,14,
base_N8,8,47,60.0,SP-STATIC,,903.282539546088,150.4995285784211,4,4,5,14,
base_N8,8,47,60.0,GREEDY,,1154.4378361802096,144.28707114997962,3,4,4,14,
base_N8,8,47,60.0,TD-OPT,,887.5802437608918,118.25947490249885,5,4,5,14,0
base_N8,8,47,75.0,SP-FF,,888.282539546088,135.49952857842106,3,4,5,14,
base_N8,8,47,75.0,SP-STATIC,,888.282539546088,135.49952857842106,3,4,5,14,
base_N8,8,47,75.0,GREEDY,,1139.4378361802096,189.5770168750119,4,4,4,14,
